"sr_id";"sr_fk_marca";"sr_nombre"
362;20;"AM3"
363;20;"GLC220D"
364;6;"FOX"
365;10;"MG ZS"
366;28;"116I"
367;11;"TERRACANO"
368;5;"MAZDA B200"
369;20;"B200"
370;1;"SONET"
371;4;"TURBO"
372;2;"MEGANE"
373;10;"IMPRESA"
374;4;"GRAND VITARA"
375;4;"CHEVROLET GT"
376;15;"WRANGLER"
377;4;"SPORT"
378;8;"ALMERA"
379;8;"ALMERA"
380;9;"S.PRESSO"
381;4;"SPARK GT"
382;4;"SPARK GT"
383;4;"SPARK "
384;4;"SPARK GT "
385;4;"SPARKGT"
386;23;"KORANDO 602"
387;1;"RIO"
388;8;"DINISSAN"
389;30;"PALIO"
390;27;"306"
391;8;"D21"
392;16;"L300"
393;8;"MARCH"
394;11;"CR-V"
395;12;"PRIMERA"
396;6;"XC60"
397;6;"TRANSPORTER"
398;4;"FIESTA"
399;8;"X-TRAIL"
400;8;"X-TRAIL"
401;12;"KICKS"
402;25;"1.3"
403;5;"MAZDA CX-9"
404;9;"VITARA "
405;6;"2.5"
406;8;"TIIDA"
407;25;"RODIUS"
408;10;"SEAT IBIZA"
409;6;"TAOS"
410;4;"N400"
411;5;"CX-50"
412;5;"CX-50"
413;20;"GLC220"
414;22;"GLC220 D"
415;8;"NP300"
416;3;"LIMITED"
417;20;"GLK220 CDI"
418;9;"S-CROSS"
419;8;"X-TRAIL"
420;16;"GLX"
421;32;"XC90"
422;32;"XC60"
423;32;"S 60"
424;6;"GLI"
425;6;"GLI"
426;28;"X5"
427;7;"VX"
428;7;"GX460"
429;8;"NAVARA"
430;8;"NAVARA"
431;20;"GLC43"
432;32;"SC30"
433;32;"C30"
434;32;"CX40"
435;6;"XC40"
436;12;"QASHQAI"
437;30;"MOBI"
438;7;"YARIS"
439;34;"IMPREZA"
440;43;"911"
441;8;"VERSA"
442;8;"VERSA"
443;5;"BT 50"
444;7;"RAV-4"
445;9;"DZIRE"
446;28;"X1"
447;4;"EMOTION"
448;32;"XC40"
449;6;"TRACK"
450;22;"A200"
451;35;"Q3"
452;35;"Q7"
453;8;"SL"
454;43;"NACAR"
455;35;"Q2"
456;32;"V40"
457;35;"A4"
