"ser_id";"ser_nombre";"ser_fk_empresa"
391;"RECTIFICAR RINES";1
392;"CAMBIO INSTALACION DE ALTA";1
393;"MANGERA HIDRAULICA";1
394;"FILTRO HIDRAULICO";1
395;"BATERIA Y REVICION";1
396;"CAMBIO PEBETERO";1
397;"CAMBIO LIQUIDO FRENOS";1
398;"REVISAR CAJA DIRECCION";1
399;"CAMBIO BARILLA ACEITE";1
400;"LATONERIA PINTURA";1
401;"REVISAR ESTACIONARIAS SUIH";1
402;"REVISAR FUGA HIDRAULICO";1
403;"SILICONA";1
404;"SOPORTE TIRANTA";1
405;"ALSTAMIENTO  10000 KMTROS";1
406;"REVISION 30000";1
407;"PERA FRENOS";1
408;"AJUSTAR SUSPENSION";1
409;"REVISAR NIVEL CAJA";1
410;"REVISAR FALLA CAJA";1
411;"DECALADOR";1
412;"KID REPARTICION";1
413;"EMPAQUE TAPA VALVULAS";1
414;"REVISION TECNOMECANICA";1
415;"REVISAR FUGA REFRIGERANTE";1
416;"CAÒA DIRECCION REVISAR";1
417;"REVISAR CAUCHOS MUELLE";1
418;"REVISAR MASAS MOTOR";1
419;"CAMBIO SOPORTE INFERIOR CAJA";1
420;"REVISAR FUGA ACEITE TAPONES";1
421;"PONER BASE TARRO HIDRAHULICO ";1
422;"REVISAR FUGA DE AGUA ";1
423;"REVISAR ELEVA VIDRIOS PUERTA DERECHA ";1
424;"AJUSTAR SUSPENSION GENERAL";1
425;"PURIFICADOR AIRE";1
426;"REVION SUSPENCION DELANTERA<";1
427;"REVICION CONTROL DE LA LLAVE";1
428;"ASEGURAR EXOSTO";1
429;"M OBRA";1
430;"CAMBIOVALBULINA";1
431;"EMPAQUE CARTER ";1
432;"REVISAR LIMPIABRISAS";1
433;"CAMBIO REFRIGERANTE";1
434;"REVISAR GUAYA";1
435;"CAMBIO PERNO";1
436;"REVISAR CAPOT";1
437;"CAMBIO PERA FRENOS";1
438;"CAMBIO BOMBA AGUA";1
439;"CAMBIO MANGUERA LIMPIABRISAS";1
440;"REVISAR PITO";1
441;"CAMBIO RETENEDORES CORREA";1
442;"CAMBIO TERMINALES DIRECCION";1
443;"REVISAR GOTEO ACEITE";1
444;"LUBRICAR CLOSCH";1
445;"CAMBIO FLEXIBLE";1
446;"BUJIAS ORIGINALES";1
447;"EMPAQUETADURA TAPA";1
448;"SILIBARSOL";1
449;"CHELAC";1
450;"REVISAR CON TROL BAUL";1
451;"REVICION SUSPENCION";1
452;"REVICION LUCES";1
453;"CAMBIO CABLES";1
454;"ARREGLO CULATA";1
455;"CAMBIO EJE LEVAS";1
456;"CAMBIO IMPULSADORES";1
457;"DISCOS FRENOS";1
458;"TIJERAS DELANTERAS";1
