"pr_id";"pr_fk_marca";"pr_nombre";"pr_cantidad";"pr_codigo";"pr_activos";"pr_salida";"pr_valor";"pr_adquisicion";"pr_fk_empresa"
109;10;"FILTRO DE AIRE MASTER MFA 723";0;"723";0;0;1.0;1.0;1
110;10;"FILTRO DE AIRE MASTER MFA 538P";0;"538P";0;0;1.0;1.0;1
111;10;"FILTRO DE AIRE MASTER MFA 552P";0;"7709783233072";0;0;1.0;1.0;1
112;10;"FILTRO DE AIRE MASTER MFA 525";0;"7709783232532";0;0;1.0;1.0;1
113;10;"FILTRO DE AIRE MASTER MFA 732";0;"7709783235809";0;0;1.0;1.0;1
114;10;"FILTRO DE AIRE MASTER MFA 738";0;"7709783235885";0;0;1.0;1.0;1
115;10;"FILTRO DE AIRE MASTER MFA 142";0;"142";0;0;1.0;1.0;1
116;10;"FILTRO DE AIRE MASTER MFA 134";0;"134";0;0;1.0;1.0;1
117;10;"FILTRO DE AIRE MASTER MFA 138";0;"138";0;0;1.0;1.0;1
118;10;"FILTRO DE AIRE MASTER MFA 137";0;"137";0;0;1.0;1.0;1
119;10;"FILTRO DE AIRE CHEVROLET TROOPER LADA";0;"1";0;0;1.0;1.0;1
120;10;"FILTRO DE AIRE MASTER MFA 571P";0;"571P";0;0;1.0;1.0;1
121;10;"FILTRO DE AIRE PREMIUM FILTERS AIP516";0;"AIP516";0;0;1.0;1.0;1
122;5;"FILTRO DE AIRE PREMIUM FILTERS AIP560 MATZURI";0;"aip-560";0;0;1.0;1.0;1
123;10;"FILTRO DE AIRE ESP VITARA";0;"A0101";0;0;1.0;1.0;1
124;5;"FILTRO DE AIRE MASTER MFA 716P ";0;"716P";0;0;1.0;1.0;1
125;5;"FILTRO DE AIRE MASTER MFA 681P";0;"7709783235090";0;0;1.0;1.0;1
126;10;"FILTRO DE AIRE AIP681";0;"aip-681";0;0;1.0;1.0;1
127;10;"FILTRO DE AIRE MASTER MFA 533P ";0;"7709783232686";0;0;1.0;1.0;1
128;10;"FILTRO DE AIRE MASTER MFA 735";0;"1";0;0;1.0;1.0;1
129;10;"FILTRO DE AIRE 502P";0;"1";0;0;1.0;1.0;1
130;10;"FILTRO DE AIRE MAZDA ALEGRO";0;"1";0;0;1.0;1.0;1
131;10;"FILTRO DE AIRE NISSAN SENTRA";0;"1";0;0;1.0;1.0;1
132;10;"FILTRO DE AIRE MASTER MFA 737";0;"7709783235861";0;0;1.0;1.0;1
133;8;"FILTRO DE AIRE MASTER MFA 718P";0;"718P";0;0;1.0;1.0;1
134;10;"FILTRO DE AIRE MASTER MFA 675P";0;"7709783234970";0;0;1.0;1.0;1
135;10;"FILTRO DE AIRE MASTER MFA 757";0;"1";0;0;1.0;1.0;1
136;10;"FILTRO DE AIRE MASTER MFA 2603";0;"2603";0;0;1.0;1.0;1
137;10;"FILTRO DE AIRE 000192";0;"000192";0;0;1.0;1.0;1
138;10;"FILTRO DE AIRE TAXI DRANT";0;"1";0;0;1.0;1.0;1
139;10;"FILTRO DE AIRE CHERY VAN PASS";0;"1";0;0;1.0;1.0;1
140;10;"FILTRO DE AIRE MASTER MFA 589";0;"589";0;0;1.0;1.0;1
141;10;"FILTRO DE AIRE MASTER MFA 28891";0;"28891";0;0;1.0;1.0;1
142;10;"FILTRO DE AIRE ACDELCO";0;"19279708";0;0;1.0;1.0;1
143;10;"FILTRO DE AIRE MASTER MFA 62010";0;"62010";0;0;1.0;1.0;1
144;10;"FILTRO DE AIRE MASTER MFA131";0;"1";0;0;0.0;1.0;1
145;10;"FILTRO DE ACEITE VOOLCO VA7020";0;"VA7020";0;0;1.0;1.0;1
146;10;"FILTRO DE AIRE VOOLCO V27709";0;"V27709";0;0;1.0;1.0;1
147;10;"FILTRO DE AIRE MASTER MFA MFA2583";0;"2583";0;0;1.0;1.0;1
148;10;"FILTRO DE AIRE MASTER MFA 1654695001";0;"1654695001";0;0;1.0;1.0;1
149;10;"AFLOJADOR WURTH";0;"4046777668698";0;0;1.0;1.0;1
150;10;"FILTRO DE AIRE MASTER MFA 668P";0;"668P";0;0;1.0;1.0;1
151;10;"FILTRO DE AIRE MASTER MFA554P";0;"7709783233119";0;0;1.0;1.0;1
152;10;"FILTRO DE AIRE ACDELCO SPARK GT";0;"19279674";0;0;1.0;1.0;1
153;10;"FILTRO DE AIRE PREMIUM AIP504";0;"7707028505045";0;0;1.0;1.0;1
154;10;"FILTRO DE AIRE MASTER MFA 722P";0;"7709783235694";0;0;1.0;1.0;1
155;10;"FILTRO DE AIRE PREMIUM AIP529";0;"7707028505298";0;0;1.0;1.0;1
156;10;"FILTRO DE AIRE MASTER MFA 568P";0;"568P";0;0;1.0;1.0;1
157;10;"FILTRO DE AIRE PREMIUM AIP681";0;"7707028506813";0;0;1.0;1.0;1
158;10;"FILTRO DE AIRE PREMIUM AIP 524";0;"aip-524";0;0;1.0;1.0;1
160;10;"FILTRO DE ACEITE MF5";0;"MF5";0;0;1.0;1.0;1
161;10;"FILTRO DE ACEITE MF52";0;"MF52";0;0;1.0;1.0;1
162;10;"FILTRO DE ACEITE MF51";0;"MF51";0;0;1.0;1.0;1
